00 C3
00 D7
00 F2
00 F3
00 F5
00 F8
00 F9
00 FC
00 FD
01 C3
01 D7
01 F2
01 F3
01 F5
01 F8
01 F9
01 FC
01 FD
03 14 41
03 14 42
03 14 43
03 14 44
03 14 46
03 14 47
03 14 48
03 14 49
03 14 4A
03 14 4B
03 14 4C
03 14 4E
03 14 4F
03 14 51
03 14 64
03 14 66
03 14 67
03 14 90
03 14 91
03 14 92
03 14 93
03 14 96
03 14 97
03 14 98
03 14 99
03 14 9B
03 14 9E
03 14 9F
03 14 AA
03 14 AB
03 14 AE
03 14 AF
03 14 C3
03 14 D7
03 14 F2
03 14 F3
03 14 F8
03 14 F9
03 14 FC
03 1C 26
03 1C 2E
03 1C 36
03 1C 3E
03 1C 40
03 1C 41
03 1C 42
03 1C 43
03 1C 44
03 1C 46
03 1C 47
03 1C 48
03 1C 49
03 1C 4A
03 1C 4B
03 1C 4C
03 1C 4E
03 1C 4F
03 1C 51
03 1C 64
03 1C 66
03 1C 67
03 1C 90
03 1C 91
03 1C 92
03 1C 93
03 1C 96
03 1C 97
03 1C 98
03 1C 99
03 1C 9B
03 1C 9E
03 1C 9F
03 1C AA
03 1C AB
03 1C AE
03 1C AF
03 1C C3
03 1C D7
03 1C F2
03 1C F3
03 1C F8
03 1C F9
03 1C FC
03 24 26
03 24 2E
03 24 36
03 24 3E
03 24 40
03 24 41
03 24 42
03 24 43
03 24 44
03 24 46
03 24 47
03 24 48
03 24 49
03 24 4A
03 24 4B
03 24 4C
03 24 4E
03 24 4F
03 24 51
03 24 64
03 24 66
03 24 67
03 24 90
03 24 91
03 24 92
03 24 93
03 24 96
03 24 97
03 24 98
03 24 99
03 24 9B
03 24 9E
03 24 9F
03 24 AA
03 24 AB
03 24 AE
03 24 AF
03 24 C3
03 24 D7
03 24 F2
03 24 F3
03 24 F8
03 24 F9
03 24 FC
03 26
03 2C 26
03 2C 2E
03 2C 36
03 2C 3E
03 2C 40
03 2C 41
03 2C 42
03 2C 43
03 2C 44
03 2C 46
03 2C 47
03 2C 48
03 2C 49
03 2C 4A
03 2C 4B
03 2C 4C
03 2C 4E
03 2C 4F
03 2C 51
03 2C 64
03 2C 66
03 2C 67
03 2C 90
03 2C 91
03 2C 92
03 2C 93
03 2C 96
03 2C 97
03 2C 98
03 2C 99
03 2C 9B
03 2C 9E
03 2C 9F
03 2C AA
03 2C AB
03 2C AE
03 2C AF
03 2C C3
03 2C D7
03 2C F2
03 2C F3
03 2C F8
03 2C F9
03 2C FC
03 2E
03 34 26
03 34 2E
03 34 36
03 34 3E
03 34 40
03 34 41
03 34 42
03 34 43
03 34 44
03 34 46
03 34 47
03 34 48
03 34 49
03 34 4A
03 34 4B
03 34 4C
03 34 4E
03 34 4F
03 34 51
03 34 64
03 34 66
03 34 67
03 34 90
03 34 91
03 34 92
03 34 93
03 34 96
03 34 97
03 34 98
03 34 99
03 34 9B
03 34 9E
03 34 9F
03 34 AA
03 34 AB
03 34 AE
03 34 AF
03 34 C3
03 34 D7
03 34 F2
03 34 F3
03 34 F8
03 34 F9
03 34 FC
03 36
03 3C 26
03 3C 2E
03 3C 36
03 3C 3E
03 3C 40
03 3C 41
03 3C 42
03 3C 43
03 3C 44
03 3C 46
03 3C 47
03 3C 48
03 3C 49
03 3C 4A
03 3C 4B
03 3C 4C
03 3C 4E
03 3C 4F
03 3C 51
03 3C 64
03 3C 66
03 3C 67
03 3C 90
03 3C 91
03 3C 92
03 3C 93
03 3C 96
03 3C 97
03 3C 98
03 3C 99
03 3C 9B
03 3C 9E
03 3C 9F
03 3C AA
03 3C AB
03 3C AE
03 3C AF
03 3C C3
03 3C D7
03 3C F2
03 3C F3
03 3C F8
03 3C F9
03 3C FC
03 3E
03 C3
03 D7
03 F2
03 F3
03 F5
03 F8
03 F9
03 FC
03 FD
08 C3
08 D7
08 F2
08 F3
08 F5
08 F8
08 F9
08 FC
08 FD
09 C3
09 D7
09 F2
09 F3
09 F5
09 F8
09 F9
09 FC
09 FD
0A 04 26
0A 04 2E
0A 04 36
0A 04 3E
0A 04 40
0A 04 41
0A 04 42
0A 04 43
0A 04 44
0A 04 46
0A 04 47
0A 04 48
0A 04 49
0A 04 4A
0A 04 4B
0A 04 4C
0A 04 4E
0A 04 4F
0A 04 51
0A 04 64
0A 04 66
0A 04 67
0A 04 90
0A 04 91
0A 04 92
0A 04 93
0A 04 96
0A 04 97
0A 04 98
0A 04 99
0A 04 9B
0A 04 9E
0A 04 9F
0A 04 AA
0A 04 AB
0A 04 AE
0A 04 AF
0A 04 C3
0A 04 D7
0A 04 F2
0A 04 F3
0A 04 F8
0A 04 F9
0A 04 FC
0A 0C 26
0A 0C 2E
0A 0C 36
0A 0C 3E
0A 0C 40
0A 0C 41
0A 0C 42
0A 0C 43
0A 0C 44
0A 0C 46
0A 0C 47
0A 0C 48
0A 0C 49
0A 0C 4A
0A 0C 4B
0A 0C 4C
0A 0C 4E
0A 0C 4F
0A 0C 51
0A 0C 64
0A 0C 66
0A 0C 67
0A 0C 90
0A 0C 91
0A 0C 92
0A 0C 93
0A 0C 96
0A 0C 97
0A 0C 98
0A 0C 99
0A 0C 9B
0A 0C 9E
0A 0C 9F
0A 0C AA
0A 0C AB
0A 0C AE
0A 0C AF
0A 0C C3
0A 0C D7
0A 0C F2
0A 0C F3
0A 0C F8
0A 0C F9
0A 0C FC
0A 14 26
0A 14 2E
0A 14 36
0A 14 3E
0A 14 40
0A 14 41
0A 14 42
0A 14 43
0A 14 44
0A 14 46
0A 14 47
0A 14 48
0A 14 49
0A 14 4A
0A 14 4B
0A 14 4C
0A 14 4E
0A 14 4F
0A 14 51
0A 14 64
0A 14 66
0A 14 67
0A 14 90
0A 14 91
0A 14 92
0A 14 93
0A 14 96
0A 14 97
0A 14 98
0A 14 99
0A 14 9B
0A 14 9E
0A 14 9F
0A 14 AA
0A 14 AB
0A 14 AE
0A 14 AF
0A 14 C3
0A 14 D7
0A 14 F2
0A 14 F3
0A 14 F8
0A 14 F9
0A 14 FC
0A 1C 26
0A 1C 2E
0A 1C 36
0A 1C 3E
0A 1C 40
0A 1C 41
0A 1C 42
0A 1C 43
0A 1C 44
0A 1C 46
0A 1C 47
0A 1C 48
0A 1C 49
0A 1C 4A
0A 1C 4B
0A 1C 4C
0A 1C 4E
0A 1C 4F
0A 1C 51
0A 1C 64
0A 1C 66
0A 1C 67
0A 1C 90
0A 1C 91
0A 1C 92
0A 1C 93
0A 1C 96
0A 1C 97
0A 1C 98
0A 1C 99
0A 1C 9B
0A 1C 9E
0A 1C 9F
0A 1C AA
0A 1C AB
0A 1C AE
0A 1C AF
0A 1C C3
0A 1C D7
0A 1C F2
0A 1C F3
0A 1C F8
0A 1C F9
0A 1C FC
0A 24 26
0A 24 2E
0A 24 36
0A 24 3E
0A 24 40
0A 24 41
0A 24 42
0A 24 43
0A 24 44
0A 24 46
0A 24 47
0A 24 48
0A 24 49
0A 24 4A
0A 24 4B
0A 24 4C
0A 24 4E
0A 24 4F
0A 24 51
0A 24 64
0A 24 66
0A 24 67
0A 24 90
0A 24 91
0A 24 92
0A 24 93
0A 24 96
0A 24 97
0A 24 98
0A 24 99
0A 24 9B
0A 24 9E
0A 24 9F
0A 24 AA
0A 24 AB
0A 24 AE
0A 24 AF
0A 24 C3
0A 24 D7
0A 24 F2
0A 24 F3
0A 24 F8
0A 24 F9
0A 24 FC
0A 26
0A 2C 26
0A 2C 2E
0A 2C 36
0A 2C 3E
0A 2C 40
0A 2C 41
0A 2C 42
0A 2C 43
0A 2C 44
0A 2C 46
0A 2C 47
0A 2C 48
0A 2C 49
0A 2C 4A
0A 2C 4B
0A 2C 4C
0A 2C 4E
0A 2C 4F
0A 2C 51
0A 2C 64
0A 2C 66
0A 2C 67
0A 2C 90
0A 2C 91
0A 2C 92
0A 2C 93
0A 2C 96
0A 2C 97
0A 2C 98
0A 2C 99
0A 2C 9B
0A 2C 9E
0A 2C 9F
0A 2C AA
0A 2C AB
0A 2C AE
0A 2C AF
0A 2C C3
0A 2C D7
0A 2C F2
0A 2C F3
0A 2C F8
0A 2C F9
0A 2C FC
0A 2E
0A 34 26
0A 34 2E
0A 34 36
0A 34 3E
0A 34 40
0A 34 41
0A 34 42
0A 34 43
0A 34 44
0A 34 46
0A 34 47
0A 34 48
0A 34 49
0A 34 4A
0A 34 4B
0A 34 4C
0A 34 4E
0A 34 4F
0A 34 51
0A 34 64
0A 34 66
0A 34 67
0A 34 90
0A 34 91
0A 34 92
0A 34 93
0A 34 96
0A 34 97
0A 34 98
0A 34 99
0A 34 9B
0A 34 9E
0A 34 9F
0A 34 AA
0A 34 AB
